Title,Genre,Premiere Date,Finale Date,Seasons,Cancelled
House of Cards,Political drama,"February 1, 2013","November 2, 2018",6,0
Orange Is the New Black,Comedy drama,"July 11, 2013","July 26, 2019",7,0
Marco Polo,Historical drama,"December 12, 2014","July 1, 2016",2,0
Bloodline,Thriller,"March 20, 2015","May 26, 2017",3,0
Daredevil,Superherolegal drama,"April 10, 2015","October 19, 2018",3,0
Sense8,Science fiction,"June 5, 2015","June 8, 2018",2,0
Narcos,Crime drama,"August 28, 2015","September 1, 2017",3,0
Jessica Jones,Superheropsychological thriller,"November 20, 2015","June 14, 2019",3,0
The Get Down,Musicaldrama,"August 12, 2016","April 7, 2017",2,0
Luke Cage,Neo-blaxploitationSuperhero,"September 30, 2016","June 22, 2018",2,0
Gilmore Girls: A Year in the Life,Family drama,"November 25, 2016","November 25, 2016",1,1
The OA,Mystery,"December 16, 2016","March 22, 2019",2,0
Iron Fist,Superheromartial arts,"March 17, 2017","September 7, 2018",2,0
13 Reasons Why,Teen dramamystery,"March 31, 2017","June 5, 2020",4,0
Gypsy,Psychological thriller,"June 30, 2017","June 30, 2017",1,1
Ozark,Crime drama,"July 21, 2017","April 29, 2022",4,0
The Defenders,Superheroaction/drama,"August 18, 2017","August 18, 2017",1,1
Mindhunter,Crime drama,"October 13, 2017","August 16, 2019",2,0
The Punisher,Superherodrama,"November 17, 2017","January 18, 2019",2,0
Godless,Western,"November 22, 2017","November 22, 2017",1,1
Altered Carbon,Science fiction,"February 2, 2018","February 27, 2020",2,0
Seven Seconds,Crime drama,"February 23, 2018","February 23, 2018",1,1
The Innocents,Supernatural fiction,"August 24, 2018","August 24, 2018",1,1
The Haunting of Hill House,Horror,"October 12, 2018","October 12, 2018",1,1
Chilling Adventures of Sabrina,Supernaturalcoming-of-agehorror,"October 26, 2018","December 31, 2020",4,0
Narcos: Mexico,Crime drama,"November 16, 2018","November 5, 2021",3,0
Tidelands,Supernaturalcrime drama,"December 14, 2018","December 14, 2018",1,1
The Order,Supernaturalhorrordrama,"March 7, 2019","June 18, 2020",2,0
Black Summer,Apocalyptic fictiondrama,"April 11, 2019","June 17, 2021",2,0
Chambers,Teenpsychological thriller,"April 26, 2019","April 26, 2019",1,1
The Society,Mysterydrama,"May 10, 2019","May 10, 2019",1,1
What/If,Social thrilleranthology,"May 24, 2019","May 24, 2019",1,1
When They See Us,Drama,"May 31, 2019","May 31, 2019",1,1
Armistead Maupin's Tales of the City,Drama,"June 7, 2019","June 7, 2019",1,1
Trinkets,Coming-of-agedrama,"June 14, 2019","August 25, 2020",2,0
Another Life,Science fictiondrama,"July 25, 2019","October 14, 2021",2,0
Wu Assassins,Supernaturalmartial artsdrama,"August 8, 2019","August 8, 2019",1,1
