title,Premiere Date,Finale Date,Seasons,Cancelled,genre,Country,Type,Release_Year
House of Cards,"February 1, 2013","November 2, 2018",6.0,0.0,TV Dramas,United States,TV Show,2018.0
Orange Is the New Black,"July 11, 2013","July 26, 2019",7.0,0.0,TV Comedies,United States,TV Show,2019.0
Marco Polo,"December 12, 2014","July 1, 2016",2.0,0.0,TV Action,United States,TV Show,2016.0
Bloodline,"March 20, 2015","May 26, 2017",3.0,0.0,TV Dramas,United States,TV Show,2017.0
Daredevil,"April 10, 2015","October 19, 2018",3.0,0.0,,,TV Show,
Sense8,"June 5, 2015","June 8, 2018",2.0,0.0,Crime TV,United States,TV Show,2018.0
Narcos,"August 28, 2015","September 1, 2017",3.0,0.0,Crime TV,"United States, Colombia, Mexico, United States",TV Show,2017.0
Jessica Jones,"November 20, 2015","June 14, 2019",3.0,0.0,,,TV Show,
The Get Down,"August 12, 2016","April 7, 2017",2.0,0.0,TV Dramas,United States,TV Show,2017.0
Luke Cage,"September 30, 2016","June 22, 2018",2.0,0.0,,,TV Show,
Gilmore Girls: A Year in the Life,"November 25, 2016","November 25, 2016",1.0,1.0,TV Comedies,United States,TV Show,2016.0
The OA,"December 16, 2016","March 22, 2019",2.0,0.0,TV Dramas,United States,TV Show,2019.0
Iron Fist,"March 17, 2017","September 7, 2018",2.0,0.0,,,TV Show,
13 Reasons Why,"March 31, 2017","June 5, 2020",4.0,0.0,Crime TV,United States,TV Show,2020.0
Gypsy,"June 30, 2017","June 30, 2017",1.0,1.0,TV Dramas,"United States, United Kingdom, United States",TV Show,2017.0
Ozark,"July 21, 2017","April 29, 2022",4.0,0.0,Crime TV,United States,TV Show,2020.0
The Defenders,"August 18, 2017","August 18, 2017",1.0,1.0,,,TV Show,
Mindhunter,"October 13, 2017","August 16, 2019",2.0,0.0,,,TV Show,
The Punisher,"November 17, 2017","January 18, 2019",2.0,0.0,,,TV Show,
Godless,"November 22, 2017","November 22, 2017",1.0,1.0,TV Dramas,United States,TV Show,2017.0
Altered Carbon,"February 2, 2018","February 27, 2020",2.0,0.0,Crime TV,United States,TV Show,2020.0
Seven Seconds,"February 23, 2018","February 23, 2018",1.0,1.0,Crime TV,United States,TV Show,2018.0
The Innocents,"August 24, 2018","August 24, 2018",1.0,1.0,British TV,United Kingdom,TV Show,2018.0
The Haunting of Hill House,"October 12, 2018","October 12, 2018",1.0,1.0,TV Dramas,United States,TV Show,2018.0
Chilling Adventures of Sabrina,"October 26, 2018","December 31, 2020",4.0,0.0,TV Horror,United States,TV Show,2020.0
Narcos: Mexico,"November 16, 2018","November 5, 2021",3.0,0.0,Crime TV,"Mexico, United States, Mexico",TV Show,2020.0
Tidelands,"December 14, 2018","December 14, 2018",1.0,1.0,Crime TV,Australia,TV Show,2018.0
The Order,"March 7, 2019","June 18, 2020",2.0,0.0,International TV,United States,TV Show,2020.0
