title,Seasons,Cancelled,genre,Country,Type,Premiere Year,Finale Year
House of Cards,6.0,0.0,TV Dramas,United States,TV Show,2013,2018.0
Orange Is the New Black,7.0,0.0,TV Comedies,United States,TV Show,2013,2019.0
Marco Polo,2.0,0.0,TV Action,United States,TV Show,2014,2016.0
Bloodline,3.0,0.0,TV Dramas,United States,TV Show,2015,2017.0
Daredevil,3.0,0.0,,,TV Show,2015,2018.0
Sense8,2.0,0.0,Crime TV,United States,TV Show,2015,2018.0
Narcos,3.0,0.0,Crime TV,"United States, Colombia, Mexico, United States",TV Show,2015,2017.0
Jessica Jones,3.0,0.0,,,TV Show,2015,2019.0
The Get Down,2.0,0.0,TV Dramas,United States,TV Show,2016,2017.0
Luke Cage,2.0,0.0,,,TV Show,2016,2018.0
Gilmore Girls: A Year in the Life,1.0,1.0,TV Comedies,United States,TV Show,2016,2016.0
The OA,2.0,0.0,TV Dramas,United States,TV Show,2016,2019.0
Iron Fist,2.0,0.0,,,TV Show,2017,2018.0
13 Reasons Why,4.0,0.0,Crime TV,United States,TV Show,2017,2020.0
Gypsy,1.0,1.0,TV Dramas,"United States, United Kingdom, United States",TV Show,2017,2017.0
Ozark,4.0,0.0,Crime TV,United States,TV Show,2017,2022.0
The Defenders,1.0,1.0,,,TV Show,2017,2017.0
Mindhunter,2.0,0.0,,,TV Show,2017,2019.0
The Punisher,2.0,0.0,,,TV Show,2017,2019.0
Godless,1.0,1.0,TV Dramas,United States,TV Show,2017,2017.0
Altered Carbon,2.0,0.0,Crime TV,United States,TV Show,2018,2020.0
Seven Seconds,1.0,1.0,Crime TV,United States,TV Show,2018,2018.0
The Innocents,1.0,1.0,British TV,United Kingdom,TV Show,2018,2018.0
The Haunting of Hill House,1.0,1.0,TV Dramas,United States,TV Show,2018,2018.0
Chilling Adventures of Sabrina,4.0,0.0,TV Horror,United States,TV Show,2018,2020.0
Narcos: Mexico,3.0,0.0,Crime TV,"Mexico, United States, Mexico",TV Show,2018,2021.0
Tidelands,1.0,1.0,Crime TV,Australia,TV Show,2018,2018.0
The Order,2.0,0.0,International TV,United States,TV Show,2019,2020.0
Black Summer,2.0,0.0,TV Action,"Canada, United States, Canada",TV Show,2019,2021.0
Chambers,1.0,1.0,TV Horror,United States,TV Show,2019,2019.0
The Society,1.0,1.0,TV Dramas,United States,TV Show,2019,2019.0
What/If,1.0,1.0,,,TV Show,2019,2019.0
When They See Us,1.0,1.0,Crime TV,United States,TV Show,2019,2019.0
Armistead Maupin's Tales of the City,1.0,1.0,,,TV Show,2019,2019.0
Trinkets,2.0,0.0,TV Dramas,United States,TV Show,2019,2020.0
Another Life,2.0,0.0,TV Action,United States,TV Show,2019,2021.0
Wu Assassins,1.0,1.0,TV Action,United States,TV Show,2019,2019.0
The I-Land,1.0,1.0,TV Action,United States,TV Show,2019,2019.0
Unbelievable,1.0,1.0,Crime TV,United States,TV Show,2019,2019.0
Criminal: UK,2.0,0.0,British TV,"United Kingdom, France, Germany, Spain, United Kingdom",TV Show,2019,2020.0
V Wars,1.0,1.0,TV Action,United States,TV Show,2019,2019.0
Soundtrack,1.0,1.0,Romantic TV,United States,TV Show,2019,2019.0
Messiah,1.0,1.0,TV Dramas,United States,TV Show,2020,2020.0
Spinning Out,1.0,1.0,TV Dramas,United States,TV Show,2020,2020.0
October Faction,1.0,1.0,TV Action,United States,TV Show,2020,2020.0
The Stranger,1.0,1.0,,,TV Show,2020,2020.0
Locke & Key,3.0,0.0,TV Action,"Canada, United States, Canada",TV Show,2020,2022.0
Queen Sono,1.0,1.0,International TV,South Africa,TV Show,2020,2020.0
Self Made: Inspired by the Life of Madam C. J. Walker,1.0,1.0,,,TV Show,2020,2020.0
The English Game,1.0,1.0,British TV,United Kingdom,TV Show,2020,2020.0
Unorthodox,1.0,1.0,International TV,Germany,TV Show,2020,2020.0
Hollywood,1.0,1.0,TV Dramas,United States,TV Show,2020,2020.0
The Eddy,1.0,1.0,International TV,"United Kingdom, Germany, United States, France, United Kingdom",TV Show,2020,2020.0
White Lines,1.0,1.0,British TV,"United Kingdom, Spain, United Kingdom",TV Show,2020,2020.0
Homemade,1.0,1.0,International TV,"Chile, Italy, Chile",TV Show,2020,2020.0
Warrior Nun,2.0,0.0,TV Action,United States,TV Show,2020,2022.0
