Title,Seasons,Cancelled,Genre,Country,Type,Premiere Year,Finale Year
House of Cards,6,0,TV Dramas,United States,TV Show,2013,2018
Orange Is the New Black,7,0,TV Comedy,United States,TV Show,2013,2019
Marco Polo,2,0,TV Action,United States,TV Show,2014,2016
Bloodline,3,0,TV Dramas,United States,TV Show,2015,2017
Daredevil,3,0,TV Dramas,NA,TV Show,2015,2018
Sense8,2,0,Crime TV,United States,TV Show,2015,2018
Narcos,3,0,Crime TV,"United States, Colombia, Mexico, United States",TV Show,2015,2017
Jessica Jones,3,0,Thriller,NA,TV Show,2015,2019
The Get Down,2,0,TV Dramas,United States,TV Show,2016,2017
Luke Cage,2,0,TV Dramas,NA,TV Show,2016,2018
Gilmore Girls: A Year in the Life,1,1,TV Comedy,United States,TV Show,2016,2016
The OA,2,0,TV Dramas,United States,TV Show,2016,2019
Iron Fist,2,0,TV Dramas,NA,TV Show,2017,2018
13 Reasons Why,4,0,Crime TV,United States,TV Show,2017,2020
Gypsy,1,1,TV Dramas,"United States, United Kingdom, United States",TV Show,2017,2017
Ozark,4,0,Crime TV,United States,TV Show,2017,2022
The Defenders,1,1,TV Dramas,NA,TV Show,2017,2017
Mindhunter,2,0,Crime TV,NA,TV Show,2017,2019
The Punisher,2,0,TV Dramas,NA,TV Show,2017,2019
Godless,1,1,TV Dramas,United States,TV Show,2017,2017
Altered Carbon,2,0,Crime TV,United States,TV Show,2018,2020
Seven Seconds,1,1,Crime TV,United States,TV Show,2018,2018
The Innocents,1,1,British TV,United Kingdom,TV Show,2018,2018
The Haunting of Hill House,1,1,TV Dramas,United States,TV Show,2018,2018
Chilling Adventures of Sabrina,4,0,Thriller,United States,TV Show,2018,2020
Narcos: Mexico,3,0,Crime TV,"Mexico, United States, Mexico",TV Show,2018,2021
Tidelands,1,1,Crime TV,Australia,TV Show,2018,2018
The Order,2,0,International TV,United States,TV Show,2019,2020
Black Summer,2,0,TV Action,"Canada, United States, Canada",TV Show,2019,2021
Chambers,1,1,Thriller,United States,TV Show,2019,2019
The Society,1,1,TV Dramas,United States,TV Show,2019,2019
What/If,1,1,Thriller,NA,TV Show,2019,2019
When They See Us,1,1,Crime TV,United States,TV Show,2019,2019
Armistead Maupin's Tales of the City,1,1,TV Dramas,NA,TV Show,2019,2019
Trinkets,2,0,TV Dramas,United States,TV Show,2019,2020
Another Life,2,0,TV Action,United States,TV Show,2019,2021
Wu Assassins,1,1,TV Action,United States,TV Show,2019,2019
The I-Land,1,1,TV Action,United States,TV Show,2019,2019
Unbelievable,1,1,Crime TV,United States,TV Show,2019,2019
Criminal: UK,2,0,British TV,"United Kingdom, France, Germany, Spain, United Kingdom",TV Show,2019,2020
V Wars,1,1,TV Action,United States,TV Show,2019,2019
Soundtrack,1,1,TV Dramas,United States,TV Show,2019,2019
Messiah,1,1,TV Dramas,United States,TV Show,2020,2020
Spinning Out,1,1,TV Dramas,United States,TV Show,2020,2020
October Faction,1,1,TV Action,United States,TV Show,2020,2020
The Stranger,1,1,Thriller,NA,TV Show,2020,2020
Locke & Key,3,0,TV Action,"Canada, United States, Canada",TV Show,2020,2022
Queen Sono,1,1,International TV,South Africa,TV Show,2020,2020
Self Made: Inspired by the Life of Madam C. J. Walker,1,1,Docuseries,NA,TV Show,2020,2020
The English Game,1,1,British TV,United Kingdom,TV Show,2020,2020
Unorthodox,1,1,International TV,Germany,TV Show,2020,2020
Hollywood,1,1,TV Dramas,United States,TV Show,2020,2020
The Eddy,1,1,International TV,"United Kingdom, Germany, United States, France, United Kingdom",TV Show,2020,2020
White Lines,1,1,British TV,"United Kingdom, Spain, United Kingdom",TV Show,2020,2020
Homemade,1,1,International TV,"Chile, Italy, Chile",TV Show,2020,2020
Warrior Nun,2,0,TV Action,United States,TV Show,2020,2022
Cursed,1,1,TV Action,"United Kingdom, Australia, United Kingdom",TV Show,2020,2020
Young Wallander,2,0,Crime TV,United Kingdom,TV Show,2020,2022
Away,1,1,TV Dramas,United States,TV Show,2020,2020
The Haunting of Bly Manor,1,1,TV Dramas,United States,TV Show,2020,2020
